Randomizer Version: 4.4.0
Random Seed: 191563861191468
Settings String: 318WRIEEjIAAAMABgCRAAKeBnsECQEAFAACCQAuEgAAAAAABRi45ATkAYYICTIGBAIyAAIQRmlyZSBSZWQgKFUpIDEuMZoolK7jwziK

--Patching for National Dex at Start of Game--
Patch successful!

--Randomized Evolutions--
BULBASAUR       -> NIDORINA       
BULBASAUR Lvs 30-45      HP 38  ATK 48  DEF 31  SPATK 80  SPDEF 88  SPEED 33 
BULBASAUR Lvs 45-53      HP 38  ATK 48  DEF 31  SPATK 80  SPDEF 88  SPEED 33 
BULBASAUR Lvs 53-60      HP 38  ATK 48  DEF 31  SPATK 80  SPDEF 88  SPEED 33 

Set #195 - ROUTE 24 Fishing (rate=20)
PONYTA Lv8               HP 44  ATK 106 DEF 31  SPATK 35  SPDEF 184 SPEED 11 
PONYTA Lv8               HP 44  ATK 106 DEF 31  SPATK 35  SPDEF 184 SPEED 11 
LANTURN Lvs 8-23         HP 114 ATK 50  DEF 81  SPATK 92  SPDEF 40  SPEED 83 
PONYTA Lvs 8-23          HP 44  ATK 106 DEF 31  SPATK 35  SPDEF 184 SPEED 11 
SUDOWOODO Lvs 8-23       HP 50  ATK 108 DEF 45  SPATK 102 SPDEF 30  SPEED 75 
LANTURN Lvs 23-38        HP 114 ATK 50  DEF 81  SPATK 92  SPDEF 40  SPEED 83 
LANTURN Lvs 23-38        HP 114 ATK 50  DEF 81  SPATK 92  SPDEF 40  SPEED 83 
BLAZIKEN Lvs 23-38       HP 118 ATK 59  DEF 71  SPATK 129 SPDEF 39  SPEED 114
LANTURN Lvs 38-53        HP 114 ATK 50  DEF 81  SPATK 92  SPDEF 40  SPEED 83 
GASTLY Lvs 38-53         HP 26  ATK 27  DEF 18  SPATK 61  SPDEF 113 SPEED 65 

Set #196 - ROUTE 25 Grass/Cave (rate=21)
FERALIGATR Lv12          HP 84  ATK 65  DEF 60  SPATK 120 SPDEF 117 SPEED 84 
JYNX Lv12                HP 95  ATK 152 DEF 12  SPATK 80  SPDEF 74  SPEED 42 
KINGDRA Lv20             HP 51  ATK 145 DEF 93  SPATK 15  SPDEF 120 SPEED 116
BAYLEEF Lv21             HP 83  ATK 82  DEF 63  SPATK 58  SPDEF 42  SPEED 78 
BAYLEEF Lv20             HP 83  ATK 82  DEF 63  SPATK 58  SPDEF 42  SPEED 78 
SLOWPOKE Lv17            HP 51  ATK 57  DEF 25  SPATK 30  SPDEF 90  SPEED 61 
KINGDRA Lv17             HP 51  ATK 145 DEF 93  SPATK 15  SPDEF 120 SPEED 116
BAYLEEF Lv18             HP 83  ATK 82  DEF 63  SPATK 58  SPDEF 42  SPEED 78 
NUMEL Lv14               HP 65  ATK 65  DEF 43  SPATK 23  SPDEF 55  SPEED 54 
SLOWPOKE Lv14            HP 51  ATK 57  DEF 25  SPATK 30  SPDEF 90  SPEED 61 
LUDICOLO Lv14            HP 28  ATK 71  DEF 176 SPATK 21  SPDEF 89  SPEED 95 
SLOWPOKE Lv20            HP 51  ATK 57  DEF 25  SPATK 30  SPDEF 90  SPEED 61 

Set #197 - ROUTE 25 Surfing (rate=2)
GARDEVOIR Lvs 30-38      HP 97  ATK 19  DEF 113 SPATK 127 SPDEF 151 SPEED 12 
GARDEVOIR Lvs 30-38      HP 97  ATK 19  DEF 113 SPATK 127 SPDEF 151 SPEED 12 
GARDEVOIR Lvs 38-45      HP 97  ATK 19  DEF 113 SPATK 127 SPDEF 151 SPEED 12 
GARDEVOIR Lvs 45-53      HP 97  ATK 19  DEF 113 SPATK 127 SPDEF 151 SPEED 12 
GARDEVOIR Lvs 53-60      HP 97  ATK 19  DEF 113 SPATK 127 SPDEF 151 SPEED 12 

Set #198 - ROUTE 25 Fishing (rate=20)
FEAROW Lv8               HP 64  ATK 60  DEF 132 SPATK 61  SPDEF 38  SPEED 88 
FEAROW Lv8               HP 64  ATK 60  DEF 132 SPATK 61  SPDEF 38  SPEED 88 
SANDSLASH Lvs 8-23       HP 60  ATK 74  DEF 70  SPATK 132 SPDEF 103 SPEED 11 
FEAROW Lvs 8-23          HP 64  ATK 60  DEF 132 SPATK 61  SPDEF 38  SPEED 88 
ZIGZAGOON Lvs 8-23       HP 38  ATK 71  DEF 26  SPATK 14  SPDEF 54  SPEED 37 
SANDSLASH Lvs 23-38      HP 60  ATK 74  DEF 70  SPATK 132 SPDEF 103 SPEED 11 
ALTARIA Lvs 30-45        HP 78  ATK 125 DEF 61  SPATK 27  SPDEF 57  SPEED 141
MUK Lvs 23-38            HP 25  ATK 162 DEF 131 SPATK 69  SPDEF 40  SPEED 72 
AGGRON Lvs 23-38         HP 170 ATK 69  DEF 186 SPATK 23  SPDEF 62  SPEED 19 
AGGRON Lvs 38-53         HP 170 ATK 69  DEF 186 SPATK 23  SPDEF 62  SPEED 19 

Set #199 - PALLET TOWN Surfing (rate=1)
ARBOK Lvs 8-15           HP 133 ATK 90  DEF 33  SPATK 11  SPDEF 159 SPEED 13 
ARBOK Lvs 15-30          HP 133 ATK 90  DEF 33  SPATK 11  SPDEF 159 SPEED 13 
ARBOK Lvs 30-45          HP 133 ATK 90  DEF 33  SPATK 11  SPDEF 159 SPEED 13 
ARBOK Lvs 45-53          HP 133 ATK 90  DEF 33  SPATK 11  SPDEF 159 SPEED 13 
ARBOK Lvs 53-60          HP 133 ATK 90  DEF 33  SPATK 11  SPDEF 159 SPEED 13 

Set #200 - PALLET TOWN Fishing (rate=10)
MISDREAVUS Lvs 8-15      HP 44  ATK 46  DEF 68  SPATK 76  SPDEF 112 SPEED 90 
MISDREAVUS Lvs 8-15      HP 44  ATK 46  DEF 68  SPATK 76  SPDEF 112 SPEED 90 
SPINDA Lvs 8-23          HP 85  ATK 44  DEF 74  SPATK 30  SPDEF 15  SPEED 112
MISDREAVUS Lvs 8-23      HP 44  ATK 46  DEF 68  SPATK 76  SPDEF 112 SPEED 90 
SWINUB Lvs 8-23          HP 55  ATK 15  DEF 74  SPATK 35  SPDEF 26  SPEED 44 
SPINDA Lvs 23-38         HP 85  ATK 44  DEF 74  SPATK 30  SPDEF 15  SPEED 112
KADABRA Lvs 23-38        HP 80  ATK 19  DEF 84  SPATK 96  SPDEF 106 SPEED 15 
WEEZING Lvs 23-38        HP 56  ATK 89  DEF 61  SPATK 106 SPDEF 92  SPEED 86 
BAYLEEF Lvs 38-53        HP 83  ATK 82  DEF 63  SPATK 58  SPDEF 42  SPEED 78 
SEEL Lvs 38-53           HP 39  ATK 11  DEF 123 SPATK 55  SPDEF 80  SPEED 18 

Set #201 - VIRIDIAN CITY Surfing (rate=1)
GOLDEEN Lvs 30-38        HP 62  ATK 53  DEF 70  SPATK 88  SPDEF 16  SPEED 32 
GOLDEEN Lvs 30-38        HP 62  ATK 53  DEF 70  SPATK 88  SPDEF 16  SPEED 32 
GOLDEEN Lvs 38-45        HP 62  ATK 53  DEF 70  SPATK 88  SPDEF 16  SPEED 32 
GOLDEEN Lvs 45-53        HP 62  ATK 53  DEF 70  SPATK 88  SPDEF 16  SPEED 32 
GOLDEEN Lvs 53-60        HP 62  ATK 53  DEF 70  SPATK 88  SPDEF 16  SPEED 32 

Set #202 - VIRIDIAN CITY Fishing (rate=10)
HARIYAMA Lv8             HP 120 ATK 41  DEF 90  SPATK 76  SPDEF 82  SPEED 66 
HARIYAMA Lv8             HP 120 ATK 41  DEF 90  SPATK 76  SPDEF 82  SPEED 66 
MINUN Lvs 8-23           HP 122 ATK 18  DEF 86  SPATK 30  SPDEF 51  SPEED 99 
HARIYAMA Lvs 8-23        HP 120 ATK 41  DEF 90  SPATK 76  SPDEF 82  SPEED 66 
SWABLU Lvs 8-23          HP 68  ATK 30  DEF 45  SPATK 49  SPDEF 48  SPEED 70 
MINUN Lvs 23-38          HP 122 ATK 18  DEF 86  SPATK 30  SPDEF 51  SPEED 99 
NIDOQUEEN Lvs 30-45      HP 41  ATK 135 DEF 84  SPATK 106 SPDEF 55  SPEED 74 
KABUTOPS Lvs 23-38       HP 117 ATK 117 DEF 32  SPATK 33  SPDEF 118 SPEED 79 
MEDICHAM Lvs 23-38       HP 117 ATK 23  DEF 16  SPATK 50  SPDEF 98  SPEED 106
MEDICHAM Lvs 38-53       HP 117 ATK 23  DEF 16  SPATK 50  SPDEF 98  SPEED 106

Set #203 - CERULEAN CITY Surfing (rate=1)
WAILMER Lvs 8-15         HP 152 ATK 20  DEF 13  SPATK 25  SPDEF 99  SPEED 91 
WAILMER Lvs 15-30        HP 152 ATK 20  DEF 13  SPATK 25  SPDEF 99  SPEED 91 
WAILMER Lvs 30-45        HP 152 ATK 20  DEF 13  SPATK 25  SPDEF 99  SPEED 91 
WAILMER Lvs 45-53        HP 152 ATK 20  DEF 13  SPATK 25  SPDEF 99  SPEED 91 
WAILMER Lvs 53-60        HP 152 ATK 20  DEF 13  SPATK 25  SPDEF 99  SPEED 91 

Set #204 - CERULEAN CITY Fishing (rate=10)
REMORAID Lv8             HP 29  ATK 57  DEF 64  SPATK 60  SPDEF 47  SPEED 43 
REMORAID Lv8             HP 29  ATK 57  DEF 64  SPATK 60  SPDEF 47  SPEED 43 
SNORUNT Lvs 8-23         HP 40  ATK 15  DEF 76  SPATK 64  SPDEF 74  SPEED 30 
REMORAID Lvs 8-23        HP 29  ATK 57  DEF 64  SPATK 60  SPDEF 47  SPEED 43 
PINSIR Lvs 8-23          HP 92  ATK 56  DEF 79  SPATK 99  SPDEF 73  SPEED 102
SNORUNT Lvs 23-38        HP 40  ATK 15  DEF 76  SPATK 64  SPDEF 74  SPEED 30 
SNORUNT Lvs 23-38        HP 40  ATK 15  DEF 76  SPATK 64  SPDEF 74  SPEED 30 
JYNX Lvs 23-38           HP 95  ATK 152 DEF 12  SPATK 80  SPDEF 74  SPEED 42 
SNORUNT Lvs 38-53        HP 40  ATK 15  DEF 76  SPATK 64  SPDEF 74  SPEED 30 
ELECTABUZZ Lvs 38-53     HP 73  ATK 38  DEF 124 SPATK 28  SPDEF 107 SPEED 119

Set #205 - VERMILION CITY Surfing (rate=1)
PSYDUCK Lvs 8-15         HP 33  ATK 56  DEF 87  SPATK 83  SPDEF 25  SPEED 36 
PSYDUCK Lvs 15-30        HP 33  ATK 56  DEF 87  SPATK 83  SPDEF 25  SPEED 36 
PSYDUCK Lvs 30-45        HP 33  ATK 56  DEF 87  SPATK 83  SPDEF 25  SPEED 36 
PSYDUCK Lvs 45-53        HP 33  ATK 56  DEF 87  SPATK 83  SPDEF 25  SPEED 36 
PSYDUCK Lvs 53-60        HP 33  ATK 56  DEF 87  SPATK 83  SPDEF 25  SPEED 36 

Set #206 - VERMILION CITY Fishing (rate=10)
COMBUSKEN Lv8            HP 78  ATK 77  DEF 53  SPATK 54  SPDEF 64  SPEED 80 
COMBUSKEN Lv8            HP 78  ATK 77  DEF 53  SPATK 54  SPDEF 64  SPEED 80 
QWILFISH Lvs 8-23        HP 35  ATK 46  DEF 59  SPATK 114 SPDEF 57  SPEED 119
COMBUSKEN Lvs 8-23       HP 78  ATK 77  DEF 53  SPATK 54  SPDEF 64  SPEED 80 
MAGMAR Lvs 8-23          HP 78  ATK 24  DEF 108 SPATK 126 SPDEF 115 SPEED 44 
QWILFISH Lvs 23-38       HP 35  ATK 46  DEF 59  SPATK 114 SPDEF 57  SPEED 119
NIDORINO Lvs 23-38       HP 80  ATK 78  DEF 67  SPATK 60  SPDEF 58  SPEED 23 
TRAPINCH Lvs 23-38       HP 56  ATK 53  DEF 43  SPATK 32  SPDEF 51  SPEED 55 
QWILFISH Lvs 38-53       HP 35  ATK 46  DEF 59  SPATK 114 SPDEF 57  SPEED 119
STARYU Lvs 38-53         HP 36  ATK 53  DEF 55  SPATK 89  SPDEF 55  SPEED 53 

Set #207 - CELADON CITY Surfing (rate=1)
CASCOON Lvs 8-15         HP 30  ATK 32  DEF 48  SPATK 31  SPDEF 12  SPEED 52 
CASCOON Lvs 15-30        HP 30  ATK 32  DEF 48  SPATK 31  SPDEF 12  SPEED 52 
CASCOON Lvs 30-45        HP 30  ATK 32  DEF 48  SPATK 31  SPDEF 12  SPEED 52 
CASCOON Lvs 45-60        HP 30  ATK 32  DEF 48  SPATK 31  SPDEF 12  SPEED 52 
MUDKIP Lvs 45-60         HP 58  ATK 79  DEF 11  SPATK 41  SPDEF 63  SPEED 57 

Set #208 - CELADON CITY Fishing (rate=10)
URSARING Lv8             HP 114 ATK 95  DEF 32  SPATK 118 SPDEF 63  SPEED 77 
URSARING Lv8             HP 114 ATK 95  DEF 32  SPATK 118 SPDEF 63  SPEED 77 
URSARING Lvs 8-23        HP 114 ATK 95  DEF 32  SPATK 118 SPDEF 63  SPEED 77 
URSARING Lvs 8-23        HP 114 ATK 95  DEF 32  SPATK 118 SPDEF 63  SPEED 77 
URSARING Lvs 8-23        HP 114 ATK 95  DEF 32  SPATK 118 SPDEF 63  SPEED 77 
URSARING Lvs 23-38       HP 114 ATK 95  DEF 32  SPATK 118 SPDEF 63  SPEED 77 
URSARING Lvs 23-38       HP 114 ATK 95  DEF 32  SPATK 118 SPDEF 63  SPEED 77 
URSARING Lvs 23-38       HP 114 ATK 95  DEF 32  SPATK 118 SPDEF 63  SPEED 77 
URSARING Lvs 38-53       HP 114 ATK 95  DEF 32  SPATK 118 SPDEF 63  SPEED 77 
GARDEVOIR Lvs 45-60      HP 97  ATK 19  DEF 113 SPATK 127 SPDEF 151 SPEED 12 

Set #209 - FUCHSIA CITY Surfing (rate=1)
GROVYLE Lvs 30-38        HP 69  ATK 72  DEF 101 SPATK 29  SPDEF 123 SPEED 11 
GROVYLE Lvs 30-38        HP 69  ATK 72  DEF 101 SPATK 29  SPDEF 123 SPEED 11 
GROVYLE Lvs 38-45        HP 69  ATK 72  DEF 101 SPATK 29  SPDEF 123 SPEED 11 
GROVYLE Lvs 45-53        HP 69  ATK 72  DEF 101 SPATK 29  SPDEF 123 SPEED 11 
GROVYLE Lvs 53-60        HP 69  ATK 72  DEF 101 SPATK 29  SPDEF 123 SPEED 11 

Set #210 - FUCHSIA CITY Fishing (rate=10)
HITMONTOP Lv8            HP 53  ATK 88  DEF 69  SPATK 81  SPDEF 63  SPEED 101
HITMONTOP Lv8            HP 53  ATK 88  DEF 69  SPATK 81  SPDEF 63  SPEED 101
ONIX Lvs 8-23            HP 21  ATK 24  DEF 104 SPATK 61  SPDEF 108 SPEED 68 
HITMONTOP Lvs 8-23       HP 53  ATK 88  DEF 69  SPATK 81  SPDEF 63  SPEED 101
BEEDRILL Lvs 8-23        HP 52  ATK 15  DEF 86  SPATK 74  SPDEF 71  SPEED 87 
ONIX Lvs 23-38           HP 21  ATK 24  DEF 104 SPATK 61  SPDEF 108 SPEED 68 
MACHOP Lvs 30-45         HP 34  ATK 73  DEF 30  SPATK 44  SPDEF 38  SPEED 85 
KINGLER Lvs 23-38        HP 67  ATK 85  DEF 74  SPATK 90  SPDEF 84  SPEED 75 
LAIRON Lvs 23-38         HP 126 ATK 98  DEF 16  SPATK 62  SPDEF 30  SPEED 98 
LAIRON Lvs 38-53         HP 126 ATK 98  DEF 16  SPATK 62  SPDEF 30  SPEED 98 

Set #211 - CINNABAR ISLAND Surfing (rate=1)
ARIADOS Lvs 8-15         HP 104 ATK 23  DEF 59  SPATK 47  SPDEF 23  SPEED 133
ARIADOS Lvs 15-30        HP 104 ATK 23  DEF 59  SPATK 47  SPDEF 23  SPEED 133
ARIADOS Lvs 30-45        HP 104 ATK 23  DEF 59  SPATK 47  SPDEF 23  SPEED 133
ARIADOS Lvs 45-53        HP 104 ATK 23  DEF 59  SPATK 47  SPDEF 23  SPEED 133
ARIADOS Lvs 53-60        HP 104 ATK 23  DEF 59  SPATK 47  SPDEF 23  SPEED 133

Set #212 - CINNABAR ISLAND Fishing (rate=10)
FERALIGATR Lv8           HP 84  ATK 65  DEF 60  SPATK 120 SPDEF 117 SPEED 84 
FERALIGATR Lv8           HP 84  ATK 65  DEF 60  SPATK 120 SPDEF 117 SPEED 84 
POLIWHIRL Lvs 8-23       HP 32  ATK 90  DEF 97  SPATK 38  SPDEF 72  SPEED 55 
FERALIGATR Lvs 8-23      HP 84  ATK 65  DEF 60  SPATK 120 SPDEF 117 SPEED 84 
MANECTRIC Lvs 8-23       HP 80  ATK 113 DEF 15  SPATK 122 SPDEF 47  SPEED 98 
POLIWHIRL Lvs 23-38      HP 32  ATK 90  DEF 97  SPATK 38  SPDEF 72  SPEED 55 
DUNSPARCE Lvs 23-38      HP 79  ATK 12  DEF 108 SPATK 86  SPDEF 111 SPEED 18 
LUNATONE Lvs 23-38       HP 86  ATK 67  DEF 66  SPATK 43  SPDEF 73  SPEED 105
GRANBULL Lvs 38-53       HP 129 ATK 16  DEF 113 SPATK 113 SPDEF 61  SPEED 18 
DODRIO Lvs 38-53         HP 108 ATK 85  DEF 83  SPATK 85  SPDEF 67  SPEED 32 

Set #213 - ONE ISLAND Surfing (rate=1)
NOSEPASS Lvs 8-30        HP 69  ATK 35  DEF 46  SPATK 62  SPDEF 77  SPEED 85 
NOSEPASS Lvs 30-53       HP 69  ATK 35  DEF 46  SPATK 62  SPDEF 77  SPEED 85 
NOSEPASS Lvs 53-60       HP 69  ATK 35  DEF 46  SPATK 62  SPDEF 77  SPEED 85 
SENTRET Lvs 53-60        HP 70  ATK 16  DEF 15  SPATK 55  SPDEF 25  SPEED 35 
SENTRET Lvs 53-60        HP 70  ATK 16  DEF 15  SPATK 55  SPDEF 25  SPEED 35 

Set #214 - ONE ISLAND Fishing (rate=10)
ABSOL Lv8                HP 77  ATK 80  DEF 46  SPATK 111 SPDEF 98  SPEED 52 
ABSOL Lv8                HP 77  ATK 80  DEF 46  SPATK 111 SPDEF 98  SPEED 52 
CAMERUPT Lvs 8-23        HP 22  ATK 37  DEF 135 SPATK 30  SPDEF 88  SPEED 147
ABSOL Lvs 8-23           HP 77  ATK 80  DEF 46  SPATK 111 SPDEF 98  SPEED 52 
CAMERUPT Lvs 8-23        HP 22  ATK 37  DEF 135 SPATK 30  SPDEF 88  SPEED 147
CAMERUPT Lvs 23-38       HP 22  ATK 37  DEF 135 SPATK 30  SPDEF 88  SPEED 147
KINGLER Lvs 23-38        HP 67  ATK 85  DEF 74  SPATK 90  SPDEF 84  SPEED 75 
GRAVELER Lvs 23-38       HP 105 ATK 38  DEF 70  SPATK 102 SPDEF 35  SPEED 40 
MUDKIP Lvs 38-53         HP 58  ATK 79  DEF 11  SPATK 41  SPDEF 63  SPEED 57 
SLOWPOKE Lvs 38-53       HP 51  ATK 57  DEF 25  SPATK 30  SPDEF 90  SPEED 61 

Set #215 - FOUR ISLAND Surfing (rate=2)
FEAROW Lvs 8-23          HP 64  ATK 60  DEF 132 SPATK 61  SPDEF 38  SPEED 88 
SHIFTRY Lvs 8-53         HP 72  ATK 92  DEF 69  SPATK 93  SPDEF 91  SPEED 64 
FEAROW Lvs 23-38         HP 64  ATK 60  DEF 132 SPATK 61  SPDEF 38  SPEED 88 
FEAROW Lvs 23-38         HP 64  ATK 60  DEF 132 SPATK 61  SPDEF 38  SPEED 88 
FEAROW Lvs 23-38         HP 64  ATK 60  DEF 132 SPATK 61  SPDEF 38  SPEED 88 

Set #216 - FOUR ISLAND Fishing (rate=20)
HITMONCHAN Lv8           HP 90  ATK 83  DEF 83  SPATK 85  SPDEF 28  SPEED 86 
HITMONCHAN Lv8           HP 90  ATK 83  DEF 83  SPATK 85  SPDEF 28  SPEED 86 
WAILMER Lvs 8-23         HP 152 ATK 20  DEF 13  SPATK 25  SPDEF 99  SPEED 91 
HITMONCHAN Lvs 8-23      HP 90  ATK 83  DEF 83  SPATK 85  SPDEF 28  SPEED 86 
VENOMOTH Lvs 8-23        HP 58  ATK 110 DEF 107 SPATK 15  SPDEF 59  SPEED 101
WAILMER Lvs 23-38        HP 152 ATK 20  DEF 13  SPATK 25  SPDEF 99  SPEED 91 
TANGELA Lvs 30-45        HP 27  ATK 213 DEF 13  SPATK 11  SPDEF 147 SPEED 24 
SURSKIT Lvs 23-38        HP 31  ATK 61  DEF 43  SPATK 55  SPDEF 37  SPEED 42 
MEDITITE Lvs 23-38       HP 76  ATK 38  DEF 47  SPATK 31  SPDEF 27  SPEED 60 
MEDITITE Lvs 38-53       HP 76  ATK 38  DEF 47  SPATK 31  SPDEF 27  SPEED 60 

Set #217 - FIVE ISLAND Surfing (rate=1)
FERALIGATR Lvs 8-53      HP 84  ATK 65  DEF 60  SPATK 120 SPDEF 117 SPEED 84 
MILTANK Lvs 8-23         HP 113 ATK 93  DEF 65  SPATK 103 SPDEF 52  SPEED 65 
FERALIGATR Lvs 53-60     HP 84  ATK 65  DEF 60  SPATK 120 SPDEF 117 SPEED 84 
BELLOSSOM Lvs 53-60      HP 68  ATK 42  DEF 69  SPATK 47  SPDEF 151 SPEED 103
BELLOSSOM Lvs 53-60      HP 68  ATK 42  DEF 69  SPATK 47  SPDEF 151 SPEED 103

Set #218 - FIVE ISLAND Fishing (rate=10)
MAGNETON Lv8             HP 102 ATK 13  DEF 77  SPATK 84  SPDEF 100 SPEED 88 
MAGNETON Lv8             HP 102 ATK 13  DEF 77  SPATK 84  SPDEF 100 SPEED 88 
CROBAT Lvs 8-23          HP 109 ATK 32  DEF 62  SPATK 54  SPDEF 99  SPEED 179
MAGNETON Lvs 8-23        HP 102 ATK 13  DEF 77  SPATK 84  SPDEF 100 SPEED 88 
CROBAT Lvs 8-23          HP 109 ATK 32  DEF 62  SPATK 54  SPDEF 99  SPEED 179
CROBAT Lvs 23-38         HP 109 ATK 32  DEF 62  SPATK 54  SPDEF 99  SPEED 179
SOLROCK Lvs 23-38        HP 97  ATK 31  DEF 45  SPATK 104 SPDEF 55  SPEED 108
SNORLAX Lvs 23-38        HP 110 ATK 83  DEF 32  SPATK 87  SPDEF 110 SPEED 117
RAPIDASH Lvs 38-53       HP 228 ATK 56  DEF 46  SPATK 38  SPDEF 11  SPEED 122
WOBBUFFET Lvs 38-53      HP 63  ATK 76  DEF 85  SPATK 56  SPDEF 55  SPEED 70 

Set #219 - ALTERING CAVE Grass/Cave (rate=5)
GRIMER Lv15              HP 38  ATK 70  DEF 20  SPATK 62  SPDEF 87  SPEED 47 
GRIMER Lv18              HP 38  ATK 70  DEF 20  SPATK 62  SPDEF 87  SPEED 47 
GRIMER Lv12              HP 38  ATK 70  DEF 20  SPATK 62  SPDEF 87  SPEED 47 
GRIMER Lv21              HP 38  ATK 70  DEF 20  SPATK 62  SPDEF 87  SPEED 47 
GRIMER Lv15              HP 38  ATK 70  DEF 20  SPATK 62  SPDEF 87  SPEED 47 
GRIMER Lv18              HP 38  ATK 70  DEF 20  SPATK 62  SPDEF 87  SPEED 47 
GRIMER Lv24              HP 38  ATK 70  DEF 20  SPATK 62  SPDEF 87  SPEED 47 
GRIMER Lv9               HP 38  ATK 70  DEF 20  SPATK 62  SPDEF 87  SPEED 47 
GRIMER Lv12              HP 38  ATK 70  DEF 20  SPATK 62  SPDEF 87  SPEED 47 
GRIMER Lv21              HP 38  ATK 70  DEF 20  SPATK 62  SPDEF 87  SPEED 47 
GRIMER Lv12              HP 38  ATK 70  DEF 20  SPATK 62  SPDEF 87  SPEED 47 
GRIMER Lv21              HP 38  ATK 70  DEF 20  SPATK 62  SPDEF 87  SPEED 47 

Set #220 - ALTERING CAVE Grass/Cave (rate=5)
BAGON Lv11               HP 27  ATK 24  DEF 36  SPATK 82  SPDEF 64  SPEED 66 
BAGON Lv14               HP 27  ATK 24  DEF 36  SPATK 82  SPDEF 64  SPEED 66 
BAGON Lv8                HP 27  ATK 24  DEF 36  SPATK 82  SPDEF 64  SPEED 66 
BAGON Lv17               HP 27  ATK 24  DEF 36  SPATK 82  SPDEF 64  SPEED 66 
BAGON Lv11               HP 27  ATK 24  DEF 36  SPATK 82  SPDEF 64  SPEED 66 
BAGON Lv14               HP 27  ATK 24  DEF 36  SPATK 82  SPDEF 64  SPEED 66 
BAGON Lv20               HP 27  ATK 24  DEF 36  SPATK 82  SPDEF 64  SPEED 66 
BAGON Lv5                HP 27  ATK 24  DEF 36  SPATK 82  SPDEF 64  SPEED 66 
BAGON Lv8                HP 27  ATK 24  DEF 36  SPATK 82  SPDEF 64  SPEED 66 
BAGON Lv17               HP 27  ATK 24  DEF 36  SPATK 82  SPDEF 64  SPEED 66 
BAGON Lv8                HP 27  ATK 24  DEF 36  SPATK 82  SPDEF 64  SPEED 66 
BAGON Lv17               HP 27  ATK 24  DEF 36  SPATK 82  SPDEF 64  SPEED 66 

Set #221 - ALTERING CAVE Grass/Cave (rate=5)
DROWZEE Lv35             HP 62  ATK 66  DEF 62  SPATK 49  SPDEF 71  SPEED 18 
DROWZEE Lv38             HP 62  ATK 66  DEF 62  SPATK 49  SPDEF 71  SPEED 18 
DROWZEE Lv33             HP 62  ATK 66  DEF 62  SPATK 49  SPDEF 71  SPEED 18 
DROWZEE Lv41             HP 62  ATK 66  DEF 62  SPATK 49  SPDEF 71  SPEED 18 
DROWZEE Lv35             HP 62  ATK 66  DEF 62  SPATK 49  SPDEF 71  SPEED 18 
DROWZEE Lv38             HP 62  ATK 66  DEF 62  SPATK 49  SPDEF 71  SPEED 18 
DROWZEE Lv44             HP 62  ATK 66  DEF 62  SPATK 49  SPDEF 71  SPEED 18 
DROWZEE Lv29             HP 62  ATK 66  DEF 62  SPATK 49  SPDEF 71  SPEED 18 
DROWZEE Lv32             HP 62  ATK 66  DEF 62  SPATK 49  SPDEF 71  SPEED 18 
DROWZEE Lv41             HP 62  ATK 66  DEF 62  SPATK 49  SPDEF 71  SPEED 18 
DROWZEE Lv32             HP 62  ATK 66  DEF 62  SPATK 49  SPDEF 71  SPEED 18 
DROWZEE Lv41             HP 62  ATK 66  DEF 62  SPATK 49  SPDEF 71  SPEED 18 

Set #222 - ALTERING CAVE Grass/Cave (rate=5)
VILEPLUME Lv24           HP 99  ATK 81  DEF 86  SPATK 53  SPDEF 105 SPEED 55 
VILEPLUME Lv27           HP 99  ATK 81  DEF 86  SPATK 53  SPDEF 105 SPEED 55 
VILEPLUME Lv21           HP 99  ATK 81  DEF 86  SPATK 53  SPDEF 105 SPEED 55 
VILEPLUME Lv30           HP 99  ATK 81  DEF 86  SPATK 53  SPDEF 105 SPEED 55 
VILEPLUME Lv24           HP 99  ATK 81  DEF 86  SPATK 53  SPDEF 105 SPEED 55 
VILEPLUME Lv27           HP 99  ATK 81  DEF 86  SPATK 53  SPDEF 105 SPEED 55 
VILEPLUME Lv33           HP 99  ATK 81  DEF 86  SPATK 53  SPDEF 105 SPEED 55 
VILEPLUME Lv18           HP 99  ATK 81  DEF 86  SPATK 53  SPDEF 105 SPEED 55 
VILEPLUME Lv21           HP 99  ATK 81  DEF 86  SPATK 53  SPDEF 105 SPEED 55 
VILEPLUME Lv30           HP 99  ATK 81  DEF 86  SPATK 53  SPDEF 105 SPEED 55 
VILEPLUME Lv21           HP 99  ATK 81  DEF 86  SPATK 53  SPDEF 105 SPEED 55 
VILEPLUME Lv30           HP 99  ATK 81  DEF 86  SPATK 53  SPDEF 105 SPEED 55 

Set #223 - ALTERING CAVE Grass/Cave (rate=5)
KABUTOPS Lv33            HP 117 ATK 117 DEF 32  SPATK 33  SPDEF 118 SPEED 79 
KABUTOPS Lv36            HP 117 ATK 117 DEF 32  SPATK 33  SPDEF 118 SPEED 79 
KABUTOPS Lv30            HP 117 ATK 117 DEF 32  SPATK 33  SPDEF 118 SPEED 79 
KABUTOPS Lv39            HP 117 ATK 117 DEF 32  SPATK 33  SPDEF 118 SPEED 79 
KABUTOPS Lv33            HP 117 ATK 117 DEF 32  SPATK 33  SPDEF 118 SPEED 79 
